Year,Season,Data Type,Value
2015,Annual,"Rain (CDD, Australia)",71.0
2015,Annual,"Rain (CDD, Ravenswood)",58.0
2015,Annual,"Rain (Max 5-Day, Australia)",29.278240585289254
2015,Annual,"Rain (Max 5-Day, Ravenswood)",52.67337512969971
2015,Annual,"Rain (Max Day, Australia)",7.598497806804717
2015,Annual,"Rain (Max Day, Ravenswood)",24.973928451538086
2015,Annual,"Rain (Min 5-Day, Australia)",0.31739666456069277
2015,Annual,"Rain (Min 5-Day, Ravenswood)",0.00386656253823503
2015,Annual,"Rain (Min Day, Australia)",0.03809765421793502
2015,Annual,"Rain (Min Day, Ravenswood)",0.0
2015,Annual,"Rain (R10mm, Australia)",0.0
2015,Annual,"Rain (R10mm, Ravenswood)",7.0
2015,Annual,"Rain (R20mm, Australia)",0.0
2015,Annual,"Rain (R20mm, Ravenswood)",1.0
2015,Annual,"Rain (Total, Australia)",391.2720740739669
2015,Annual,"Rain (Total, Ravenswood)",301.6039069830192
2015,Annual,"Temp (5-Day Avg Max, Australia)",38.84835872078543
2015,Annual,"Temp (5-Day Avg Max, Ravenswood)",35.98814086914062
2015,Annual,"Temp (Average, Australia)",23.46641921921471
2015,Annual,"Temp (Average, Ravenswood)",23.779527052787884
2015,Annual,"Temp (Avg Max, Australia)",28.78544703063763
2015,Annual,"Temp (Avg Max, Ravenswood)",29.27335798707727
2015,Annual,"Temp (Days ≥37.0°C ≥3h est, Australia)",18.0
2015,Annual,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",0.0
2015,Annual,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2015,Annual,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",0.0
2015,Annual,"Temp (Max Day, Australia)",39.46774375437773
2015,Annual,"Temp (Max Day, Ravenswood)",37.415435791015625
2015,Annual,"Wind (95th Percentile, Australia)",5.664781359322325
2015,Annual,"Wind (95th Percentile, Ravenswood)",5.905023193359376
2015,Annual,"Wind (Average, Australia)",4.446605671354858
2015,Annual,"Wind (Average, Ravenswood)",3.8579694774052866
2015,Annual,"Wind (Max Day, Australia)",6.916008564449586
2015,Annual,"Wind (Max Day, Ravenswood)",7.354522705078125
2015,DJF,"Rain (CDD, Australia)",3.0
2015,DJF,"Rain (CDD, Ravenswood)",8.0
2015,DJF,"Rain (Max 5-Day, Australia)",26.60588325334729
2015,DJF,"Rain (Max 5-Day, Ravenswood)",42.694252014160156
2015,DJF,"Rain (Max Day, Australia)",7.598497806804717
2015,DJF,"Rain (Max Day, Ravenswood)",16.38022232055664
2015,DJF,"Rain (Min 5-Day, Australia)",6.648003658550094
2015,DJF,"Rain (Min 5-Day, Ravenswood)",0.11117352452129126
2015,DJF,"Rain (Min Day, Australia)",0.7090467088035657
2015,DJF,"Rain (Min Day, Ravenswood)",0.002093600109219551
2015,DJF,"Rain (R10mm, Australia)",0.0
2015,DJF,"Rain (R10mm, Ravenswood)",2.0
2015,DJF,"Rain (R20mm, Australia)",0.0
2015,DJF,"Rain (R20mm, Ravenswood)",0.0
2015,DJF,"Rain (Total, Australia)",169.31202636754907
2015,DJF,"Rain (Total, Ravenswood)",82.93226893711835
2015,DJF,"Temp (5-Day Avg Max, Australia)",37.40131658969308
2015,DJF,"Temp (5-Day Avg Max, Ravenswood)",35.19990844726563
2015,DJF,"Temp (Average, Australia)",29.967378894751693
2015,DJF,"Temp (Average, Ravenswood)",28.0126244496491
2015,DJF,"Temp (Avg Max, Australia)",35.161369794744424
2015,DJF,"Temp (Avg Max, Ravenswood)",33.4855248402741
2015,DJF,"Temp (Days ≥37.0°C ≥3h est, Australia)",5.0
2015,DJF,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",0.0
2015,DJF,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2015,DJF,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",0.0
2015,DJF,"Temp (Max Day, Australia)",38.12710078995157
2015,DJF,"Temp (Max Day, Ravenswood)",36.799957275390625
2015,DJF,"Wind (95th Percentile, Australia)",5.534991008453709
2015,DJF,"Wind (95th Percentile, Ravenswood)",5.657111358642578
2015,DJF,"Wind (Average, Australia)",4.496202962002248
2015,DJF,"Wind (Average, Ravenswood)",4.3396866361973645
2015,DJF,"Wind (Max Day, Australia)",5.858070813048025
2015,DJF,"Wind (Max Day, Ravenswood)",6.0151214599609375
2015,JJA,"Rain (CDD, Australia)",55.0
2015,JJA,"Rain (CDD, Ravenswood)",33.0
2015,JJA,"Rain (Max 5-Day, Australia)",10.752622552196922
2015,JJA,"Rain (Max 5-Day, Ravenswood)",8.790516138076782
2015,JJA,"Rain (Max Day, Australia)",3.2743344652406594
2015,JJA,"Rain (Max Day, Ravenswood)",4.459622859954834
2015,JJA,"Rain (Min 5-Day, Australia)",0.3992522799408633
2015,JJA,"Rain (Min 5-Day, Ravenswood)",0.019317687353549218
2015,JJA,"Rain (Min Day, Australia)",0.047551850506187064
2015,JJA,"Rain (Min Day, Ravenswood)",0.0
2015,JJA,"Rain (R10mm, Australia)",0.0
2015,JJA,"Rain (R10mm, Ravenswood)",0.0
2015,JJA,"Rain (R20mm, Australia)",0.0
2015,JJA,"Rain (R20mm, Ravenswood)",0.0
2015,JJA,"Rain (Total, Australia)",52.141772445181445
2015,JJA,"Rain (Total, Ravenswood)",36.00506343964204
2015,JJA,"Temp (5-Day Avg Max, Australia)",24.82961564203263
2015,JJA,"Temp (5-Day Avg Max, Ravenswood)",26.829742431640625
2015,JJA,"Temp (Average, Australia)",15.906311439522566
2015,JJA,"Temp (Average, Ravenswood)",18.637638257897418
2015,JJA,"Temp (Avg Max, Australia)",20.955658772344343
2015,JJA,"Temp (Avg Max, Ravenswood)",23.969799539317254
2015,JJA,"Temp (Days ≥37.0°C ≥3h est, Australia)",0.0
2015,JJA,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",0.0
2015,JJA,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2015,JJA,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",0.0
2015,JJA,"Temp (Max Day, Australia)",25.369858322079846
2015,JJA,"Temp (Max Day, Ravenswood)",28.290679931640625
2015,JJA,"Wind (95th Percentile, Australia)",5.543361185547571
2015,JJA,"Wind (95th Percentile, Ravenswood)",4.908710479736328
2015,JJA,"Wind (Average, Australia)",4.224549036184366
2015,JJA,"Wind (Average, Ravenswood)",3.1124055281929346
2015,JJA,"Wind (Max Day, Australia)",6.916008564449586
2015,JJA,"Wind (Max Day, Ravenswood)",5.6588287353515625
2015,MAM,"Rain (CDD, Australia)",30.0
2015,MAM,"Rain (CDD, Ravenswood)",51.0
2015,MAM,"Rain (Max 5-Day, Australia)",29.278240585289254
2015,MAM,"Rain (Max 5-Day, Ravenswood)",52.67337512969971
2015,MAM,"Rain (Max Day, Australia)",6.046468703707986
2015,MAM,"Rain (Max Day, Ravenswood)",24.973928451538086
2015,MAM,"Rain (Min 5-Day, Australia)",0.31739666456069277
2015,MAM,"Rain (Min 5-Day, Ravenswood)",0.08778120949864388
2015,MAM,"Rain (Min Day, Australia)",0.03809765421793502
2015,MAM,"Rain (Min Day, Ravenswood)",5.916832014918327e-05
2015,MAM,"Rain (R10mm, Australia)",0.0
2015,MAM,"Rain (R10mm, Ravenswood)",5.0
2015,MAM,"Rain (R20mm, Australia)",0.0
2015,MAM,"Rain (R20mm, Ravenswood)",1.0
2015,MAM,"Rain (Total, Australia)",80.99470284136612
2015,MAM,"Rain (Total, Ravenswood)",146.166026228806
2015,MAM,"Temp (5-Day Avg Max, Australia)",32.82210644080564
2015,MAM,"Temp (5-Day Avg Max, Ravenswood)",34.933160400390626
2015,MAM,"Temp (Average, Australia)",23.424731047619083
2015,MAM,"Temp (Average, Ravenswood)",23.94217715056046
2015,MAM,"Temp (Avg Max, Australia)",28.41637907988532
2015,MAM,"Temp (Avg Max, Ravenswood)",28.494386092476223
2015,MAM,"Temp (Days ≥37.0°C ≥3h est, Australia)",0.0
2015,MAM,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",0.0
2015,MAM,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2015,MAM,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",0.0
2015,MAM,"Temp (Max Day, Australia)",33.73299759263109
2015,MAM,"Temp (Max Day, Ravenswood)",35.615386962890625
2015,MAM,"Wind (95th Percentile, Australia)",5.856793206813821
2015,MAM,"Wind (95th Percentile, Ravenswood)",6.471324539184571
2015,MAM,"Wind (Average, Australia)",4.574856061525689
2015,MAM,"Wind (Average, Ravenswood)",4.268979860388714
2015,MAM,"Wind (Max Day, Australia)",6.796752748961251
2015,MAM,"Wind (Max Day, Ravenswood)",7.354522705078125
2015,SON,"Rain (CDD, Australia)",39.0
2015,SON,"Rain (CDD, Ravenswood)",45.0
2015,SON,"Rain (Max 5-Day, Australia)",9.906500229990897
2015,SON,"Rain (Max 5-Day, Ravenswood)",6.974070072174072
2015,SON,"Rain (Max Day, Australia)",3.547287089867853
2015,SON,"Rain (Max Day, Ravenswood)",2.6348538398742676
2015,SON,"Rain (Min 5-Day, Australia)",0.7062190746623889
2015,SON,"Rain (Min 5-Day, Ravenswood)",0.00386656253823503
2015,SON,"Rain (Min Day, Australia)",0.05262867919169365
2015,SON,"Rain (Min Day, Ravenswood)",5.2246315362936e-07
2015,SON,"Rain (R10mm, Australia)",0.0
2015,SON,"Rain (R10mm, Ravenswood)",0.0
2015,SON,"Rain (R20mm, Australia)",0.0
2015,SON,"Rain (R20mm, Ravenswood)",0.0
2015,SON,"Rain (Total, Australia)",65.96352951732347
2015,SON,"Rain (Total, Ravenswood)",22.596697689843324
2015,SON,"Temp (5-Day Avg Max, Australia)",34.596987003247946
2015,SON,"Temp (5-Day Avg Max, Ravenswood)",34.737945556640625
2015,SON,"Temp (Average, Australia)",24.357368734156907
2015,SON,"Temp (Average, Ravenswood)",24.742876660692822
2015,SON,"Temp (Avg Max, Australia)",30.149287078614535
2015,SON,"Temp (Avg Max, Ravenswood)",31.06407987154447
2015,SON,"Temp (Days ≥37.0°C ≥3h est, Australia)",0.0
2015,SON,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",0.0
2015,SON,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2015,SON,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",0.0
2015,SON,"Temp (Max Day, Australia)",35.66186341727938
2015,SON,"Temp (Max Day, Ravenswood)",37.164459228515625
2015,SON,"Wind (95th Percentile, Australia)",5.694612196839648
2015,SON,"Wind (95th Percentile, Ravenswood)",4.833812713623047
2015,SON,"Wind (Average, Australia)",4.5069272417488415
2015,SON,"Wind (Average, Ravenswood)",3.6918699662763994
2015,SON,"Wind (Max Day, Australia)",6.6991814465332125
2015,SON,"Wind (Max Day, Ravenswood)",5.6478424072265625
2016,Annual,"Rain (CDD, Australia)",46.0
2016,Annual,"Rain (CDD, Ravenswood)",48.0
2016,Annual,"Rain (Max 5-Day, Australia)",21.856652553641972
2016,Annual,"Rain (Max 5-Day, Ravenswood)",68.22219610214233
2016,Annual,"Rain (Max Day, Australia)",5.536064693251883
2016,Annual,"Rain (Max Day, Ravenswood)",27.9515438079834
2016,Annual,"Rain (Min 5-Day, Australia)",0.26756480118644593
2016,Annual,"Rain (Min 5-Day, Ravenswood)",0.005507090915638058
2016,Annual,"Rain (Min Day, Australia)",0.01979854391891772
2016,Annual,"Rain (Min Day, Ravenswood)",0.0
2016,Annual,"Rain (R10mm, Australia)",0.0
2016,Annual,"Rain (R10mm, Ravenswood)",9.0
2016,Annual,"Rain (R20mm, Australia)",0.0
2016,Annual,"Rain (R20mm, Ravenswood)",3.0
2016,Annual,"Rain (Total, Australia)",393.54386653811406
2016,Annual,"Rain (Total, Ravenswood)",304.3240708467589
2016,Annual,"Temp (5-Day Avg Max, Australia)",39.915245851051644
2016,Annual,"Temp (5-Day Avg Max, Ravenswood)",39.15986938476563
2016,Annual,"Temp (Average, Australia)",24.094467815792058
2016,Annual,"Temp (Average, Ravenswood)",24.63366682542478
2016,Annual,"Temp (Avg Max, Australia)",29.560045204615264
2016,Annual,"Temp (Avg Max, Ravenswood)",30.374643628063097
2016,Annual,"Temp (Days ≥37.0°C ≥3h est, Australia)",43.0
2016,Annual,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",14.0
2016,Annual,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2016,Annual,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",5.0
2016,Annual,"Temp (Max Day, Australia)",40.166951194888455
2016,Annual,"Temp (Max Day, Ravenswood)",41.766021728515625
2016,Annual,"Wind (95th Percentile, Australia)",5.769029139308595
2016,Annual,"Wind (95th Percentile, Ravenswood)",5.618743896484375
2016,Annual,"Wind (Average, Australia)",4.395449981156868
2016,Annual,"Wind (Average, Ravenswood)",3.5378524279985273
2016,Annual,"Wind (Max Day, Australia)",6.849731115794485
2016,Annual,"Wind (Max Day, Ravenswood)",8.089744567871094
2016,DJF,"Rain (CDD, Australia)",16.0
2016,DJF,"Rain (CDD, Ravenswood)",52.0
2016,DJF,"Rain (Max 5-Day, Australia)",21.856652553641972
2016,DJF,"Rain (Max 5-Day, Ravenswood)",54.39123594760895
2016,DJF,"Rain (Max Day, Australia)",5.536064693251883
2016,DJF,"Rain (Max Day, Ravenswood)",24.385147094726562
2016,DJF,"Rain (Min 5-Day, Australia)",1.7671698859511413
2016,DJF,"Rain (Min 5-Day, Ravenswood)",0.02464592194883153
2016,DJF,"Rain (Min Day, Australia)",0.14324809577636552
2016,DJF,"Rain (Min Day, Ravenswood)",0.0009388147736899555
2016,DJF,"Rain (R10mm, Australia)",0.0
2016,DJF,"Rain (R10mm, Ravenswood)",3.0
2016,DJF,"Rain (R20mm, Australia)",0.0
2016,DJF,"Rain (R20mm, Ravenswood)",1.0
2016,DJF,"Rain (Total, Australia)",110.53552778890935
2016,DJF,"Rain (Total, Ravenswood)",73.75076656689635
2016,DJF,"Temp (5-Day Avg Max, Australia)",39.915245851051644
2016,DJF,"Temp (5-Day Avg Max, Ravenswood)",36.69028930664062
2016,DJF,"Temp (Average, Australia)",31.75277003816673
2016,DJF,"Temp (Average, Ravenswood)",27.9115966126159
2016,DJF,"Temp (Avg Max, Australia)",37.668995254933705
2016,DJF,"Temp (Avg Max, Ravenswood)",33.99427711570656
2016,DJF,"Temp (Days ≥37.0°C ≥3h est, Australia)",50.0
2016,DJF,"Temp (Days ≥37.0°C ≥3h est, Ravenswood)",1.0
2016,DJF,"Temp (Days ≥40.0°C ≥3h est, Australia)",0.0
2016,DJF,"Temp (Days ≥40.0°C ≥3h est, Ravenswood)",1.0
2016,DJF,"Temp (Max Day, Australia)",40.166951194888455
2016,DJF,"Temp (Max Day, Ravenswood)",40.650543212890625
2016,DJF,"Wind (95th Percentile, Australia)",5.714304947789918
2016,DJF,"Wind (95th Percentile, Ravenswood)",6.618618011474609
2016,DJF,"Wind (Average, Australia)",4.566435843346502
2016,DJF,"Wind (Average, Ravenswood)",4.694014496855683
2016,DJF,"Wind (Max Day, Australia)",6.004314728202601
2016,DJF,"Wind (Max Day, Ravenswood)",8.089744567871094
2016,JJA,"Rain (CDD, Australia)",46.0
2016,JJA,"Rain (CDD, Ravenswood)",46.0
2016,JJA,"Rain (Max 5-Day, Australia)",6.00780430926403
2016,JJA,"Rain (Max 5-Day, Ravenswood)",18.55117455124855
2016,JJA,"Rain (Max Day, Australia)",2.112962355888078
2016,JJA,"Rain (Max Day, Ravenswood)",11.501194953918457
2016,JJA,"Rain (Min 5-Day, Australia)",0.27173404298639775
2016,JJA,"Rain (Min 5-Day, Ravenswood)",0.007474860525690019
2016,JJA,"Rain (Min Day, Australia)",0.01979854391891772
2016,JJA,"Rain (Min Day, Ravenswood)",0.0
2016,JJA,"Rain (R10mm, Australia)",0.0
2016,JJA,"Rain (R10mm, Ravenswood)",1.0
2016,JJA,"Rain (R20mm, Australia)",0.0
2016,JJA,"Rain (R20mm, Ravenswood)",0.0
